Find 13459 frequent item sets !!!
Including 157 1-item frequent set
rubbing alcohol, support: 10
whole milk, shopping bags, curd, support: 20
newspapers, margarine, curd, support: 11
newspapers, rolls/buns, curd, support: 12
newspapers, whipped/sour cream, curd, support: 13
newspapers, root vegetables, curd, support: 15
newspapers, yogurt, curd, support: 18
newspapers, other vegetables, curd, support: 19
newspapers, whole milk, curd, support: 28
soda, bottled water, curd, support: 10
whipped/sour cream, bottled water, curd, support: 11
pip fruit, bottled water, curd, support: 11
domestic eggs, bottled water, curd, support: 11
root vegetables, bottled water, curd, support: 12
citrus fruit, bottled water, curd, support: 13
bottled water, rolls/buns, curd, support: 15
bottled water, tropical fruit, curd, support: 21
other vegetables, bottled water, curd, support: 21
bottled water, yogurt, curd, support: 26
whole milk, bottled water, curd, support: 32
citrus fruit, margarine, curd, support: 10
whipped/sour cream, margarine, curd, support: 13
margarine, butter, curd, support: 13
margarine, domestic eggs, curd, support: 14
margarine, rolls/buns, curd, support: 16
margarine, tropical fruit, curd, support: 18
margarine, root vegetables, curd, support: 18
margarine, pip fruit, curd, support: 18
margarine, other vegetables, curd, support: 27
margarine, yogurt, curd, support: 27
margarine, whole milk, curd, support: 34
pip fruit, domestic eggs, curd, support: 10
butter, domestic eggs, curd, support: 12
domestic eggs, rolls/buns, curd, support: 13
citrus fruit, domestic eggs, curd, support: 13
whipped/sour cream, domestic eggs, curd, support: 18
domestic eggs, tropical fruit, curd, support: 22
root vegetables, domestic eggs, curd, support: 23
domestic eggs, yogurt, curd, support: 27
other vegetables, domestic eggs, curd, support: 34
whole milk, domestic eggs, curd, support: 47
citrus fruit, butter, curd, support: 12
butter, sausage, curd, support: 14
butter, pip fruit, curd, support: 15
butter, pastry, curd, support: 16
butter, rolls/buns, curd, support: 17
butter, tropical fruit, curd, support: 19
butter, root vegetables, curd, support: 20
whipped/sour cream, butter, curd, support: 21
butter, yogurt, curd, support: 29
butter, other vegetables, curd, support: 30
butter, whole milk, curd, support: 48
citrus fruit, pastry, curd, support: 10
citrus fruit, soda, curd, support: 11
citrus fruit, pip fruit, curd, support: 12
citrus fruit, rolls/buns, curd, support: 16
citrus fruit, sausage, curd, support: 16
whipped/sour cream, citrus fruit, curd, support: 19
citrus fruit, root vegetables, curd, support: 21
citrus fruit, tropical fruit, curd, support: 23
citrus fruit, yogurt, curd, support: 30
citrus fruit, other vegetables, curd, support: 31
citrus fruit, whole milk, curd, support: 36
soda, pastry, curd, support: 14
sausage, pastry, curd, support: 14
pip fruit, pastry, curd, support: 15
whipped/sour cream, pastry, curd, support: 15
root vegetables, pastry, curd, support: 15
tropical fruit, pastry, curd, support: 17
pastry, rolls/buns, curd, support: 20
pastry, yogurt, curd, support: 32
other vegetables, pastry, curd, support: 32
whole milk, pastry, curd, support: 44
sausage, rolls/buns, curd, support: 16
sausage, pip fruit, curd, support: 18
soda, sausage, curd, support: 18
whipped/sour cream, sausage, curd, support: 19
sausage, root vegetables, curd, support: 21
sausage, tropical fruit, curd, support: 21
other vegetables, sausage, curd, support: 33
sausage, whole milk, curd, support: 34
sausage, yogurt, curd, support: 35
root vegetables, pip fruit, curd, support: 22
whipped/sour cream, pip fruit, curd, support: 22
pip fruit, tropical fruit, curd, support: 27
other vegetables, pip fruit, curd, support: 33
pip fruit, yogurt, curd, support: 38
whole milk, pip fruit, curd, support: 48
whipped/sour cream, soda, curd, support: 10
soda, tropical fruit, curd, support: 15
soda, rolls/buns, curd, support: 16
soda, yogurt, curd, support: 16
soda, root vegetables, curd, support: 16
other vegetables, soda, curd, support: 20
soda, whole milk, curd, support: 35
root vegetables, rolls/buns, curd, support: 20
tropical fruit, rolls/buns, curd, support: 22
whipped/sour cream, rolls/buns, curd, support: 24
rolls/buns, yogurt, curd, support: 34
other vegetables, rolls/buns, curd, support: 36
whole milk, rolls/buns, curd, support: 58
whipped/sour cream, tropical fruit, curd, support: 28
root vegetables, tropical fruit, curd, support: 31
tropical fruit, yogurt, curd, support: 52
other vegetables, tropical fruit, curd, support: 52
whole milk, tropical fruit, curd, support: 64
whipped/sour cream, root vegetables, curd, support: 25
whipped/sour cream, other vegetables, curd, support: 43
whipped/sour cream, yogurt, curd, support: 45
whipped/sour cream, whole milk, curd, support: 58
root vegetables, yogurt, curd, support: 46
other vegetables, root vegetables, curd, support: 54
root vegetables, whole milk, curd, support: 61
other vegetables, yogurt, curd, support: 60
other vegetables, whole milk, curd, support: 97
whole milk, yogurt, curd, support: 99
butter, whole milk, canned beer, support: 10
butter, coffee, domestic eggs, support: 10
butter, coffee, citrus fruit, support: 10
sausage, butter, coffee, support: 10
butter, coffee, rolls/buns, support: 12
whipped/sour cream, butter, coffee, support: 13
butter, coffee, yogurt, support: 16
butter, coffee, root vegetables, support: 17
butter, coffee, other vegetables, support: 19
butter, coffee, whole milk, support: 33
frankfurter, butter, whipped/sour cream, support: 11
frankfurter, butter, tropical fruit, support: 11
frankfurter, butter, pastry, support: 11
frankfurter, butter, root vegetables, support: 13
frankfurter, butter, sausage, support: 13
frankfurter, butter, yogurt, support: 17
frankfurter, butter, rolls/buns, support: 18
frankfurter, butter, other vegetables, support: 19
frankfurter, butter, whole milk, support: 27
butter, shopping bags, domestic eggs, support: 10
butter, shopping bags, rolls/buns, support: 10
butter, shopping bags, fruit/vegetable juice, support: 10
butter, shopping bags, tropical fruit, support: 11
butter, shopping bags, pastry, support: 13
butter, shopping bags, yogurt, support: 14
butter, shopping bags, other vegetables, support: 16
butter, whole milk, shopping bags, support: 21
newspapers, butter, pork, support: 10
sausage, butter, pork, support: 11
butter, pork, brown bread, support: 11
soda, butter, pork, support: 11
butter, pork, pastry, support: 12
whipped/sour cream, butter, pork, support: 16
butter, pork, yogurt, support: 17
butter, pork, rolls/buns, support: 18
butter, pork, root vegetables, support: 18
butter, pork, other vegetables, support: 26
butter, pork, whole milk, support: 38
newspapers, butter, bottled water, support: 11
newspapers, butter, fruit/vegetable juice, support: 12
newspapers, butter, tropical fruit, support: 13
newspapers, butter, citrus fruit, support: 14
newspapers, butter, root vegetables, support: 14
newspapers, butter, soda, support: 16
newspapers, butter, rolls/buns, support: 17
newspapers, butter, yogurt, support: 20
newspapers, butter, other vegetables, support: 21
newspapers, butter, whole milk, support: 31
butter, pip fruit, bottled beer, support: 10
butter, soda, bottled beer, support: 10
butter, domestic eggs, bottled beer, support: 13
butter, bottled beer, citrus fruit, support: 13
butter, yogurt, bottled beer, support: 14
butter, root vegetables, bottled beer, support: 17
butter, bottled water, bottled beer, support: 18
butter, rolls/buns, bottled beer, support: 18
butter, other vegetables, bottled beer, support: 22
butter, whole milk, bottled beer, support: 32
whipped/sour cream, butter, brown bread, support: 10
butter, pip fruit, brown bread, support: 11
butter, root vegetables, brown bread, support: 11
butter, brown bread, citrus fruit, support: 11
butter, brown bread, pastry, support: 14
butter, brown bread, fruit/vegetable juice, support: 14
butter, brown bread, tropical fruit, support: 15
butter, brown bread, rolls/buns, support: 16
butter, brown bread, yogurt, support: 18
butter, sausage, brown bread, support: 19
butter, brown bread, other vegetables, support: 23
butter, whole milk, brown bread, support: 29
margarine, butter, pastry, support: 10
margarine, butter, fruit/vegetable juice, support: 10
margarine, butter, soda, support: 11
margarine, butter, tropical fruit, support: 13
margarine, butter, pip fruit, support: 14
margarine, butter, citrus fruit, support: 15
margarine, butter, whipped/sour cream, support: 15
margarine, butter, sausage, support: 15
margarine, butter, root vegetables, support: 16
margarine, butter, domestic eggs, support: 16
margarine, butter, rolls/buns, support: 20
margarine, butter, yogurt, support: 24
margarine, butter, whole milk, support: 30
margarine, butter, other vegetables, support: 35
butter, pip fruit, fruit/vegetable juice, support: 11
butter, soda, pip fruit, support: 11
butter, pip fruit, domestic eggs, support: 14
butter, pip fruit, pastry, support: 14
butter, pip fruit, rolls/buns, support: 15
bottled water, butter, pip fruit, support: 16
butter, pip fruit, tropical fruit, support: 17
butter, sausage, pip fruit, support: 17
butter, pip fruit, citrus fruit, support: 17
whipped/sour cream, butter, pip fruit, support: 20
butter, root vegetables, pip fruit, support: 21
butter, pip fruit, yogurt, support: 23
butter, pip fruit, other vegetables, support: 40
butter, whole milk, pip fruit, support: 44
butter, root vegetables, pastry, support: 10
butter, domestic eggs, pastry, support: 12
butter, pastry, fruit/vegetable juice, support: 14
butter, tropical fruit, pastry, support: 16
whipped/sour cream, butter, pastry, support: 18
butter, sausage, pastry, support: 19
butter, pastry, yogurt, support: 20
butter, soda, pastry, support: 20
butter, pastry, rolls/buns, support: 22
butter, pastry, other vegetables, support: 38
butter, whole milk, pastry, support: 39
butter, fruit/vegetable juice, citrus fruit, support: 12
butter, domestic eggs, fruit/vegetable juice, support: 14
butter, bottled water, fruit/vegetable juice, support: 16
butter, fruit/vegetable juice, rolls/buns, support: 17
butter, root vegetables, fruit/vegetable juice, support: 20
butter, soda, fruit/vegetable juice, support: 20
butter, sausage, fruit/vegetable juice, support: 20
whipped/sour cream, butter, fruit/vegetable juice, support: 21
butter, tropical fruit, fruit/vegetable juice, support: 25
butter, fruit/vegetable juice, other vegetables, support: 33
butter, fruit/vegetable juice, yogurt, support: 35
butter, whole milk, fruit/vegetable juice, support: 41
butter, sausage, bottled water, support: 10
butter, sausage, citrus fruit, support: 16
soda, butter, sausage, support: 17
butter, sausage, domestic eggs, support: 20
butter, sausage, root vegetables, support: 22
butter, sausage, rolls/buns, support: 23
butter, sausage, tropical fruit, support: 23
whipped/sour cream, butter, sausage, support: 25
butter, sausage, yogurt, support: 25
butter, sausage, other vegetables, support: 38
butter, sausage, whole milk, support: 47
butter, soda, domestic eggs, support: 11
whipped/sour cream, butter, soda, support: 14
butter, soda, tropical fruit, support: 14
butter, soda, citrus fruit, support: 16
butter, soda, bottled water, support: 21
butter, soda, root vegetables, support: 21
butter, soda, yogurt, support: 23
butter, soda, rolls/buns, support: 25
butter, soda, whole milk, support: 30
butter, soda, other vegetables, support: 35
whipped/sour cream, butter, bottled water, support: 14
butter, bottled water, citrus fruit, support: 19
butter, bottled water, rolls/buns, support: 19
butter, bottled water, domestic eggs, support: 19
butter, bottled water, tropical fruit, support: 21
butter, bottled water, yogurt, support: 24
butter, root vegetables, bottled water, support: 33
butter, bottled water, other vegetables, support: 36
butter, whole milk, bottled water, support: 53
butter, domestic eggs, citrus fruit, support: 17
butter, rolls/buns, citrus fruit, support: 19
butter, tropical fruit, citrus fruit, support: 20
whipped/sour cream, butter, citrus fruit, support: 23
butter, root vegetables, citrus fruit, support: 26
butter, yogurt, citrus fruit, support: 30
butter, other vegetables, citrus fruit, support: 45
butter, whole milk, citrus fruit, support: 50
whipped/sour cream, butter, domestic eggs, support: 19
butter, domestic eggs, tropical fruit, support: 23
butter, domestic eggs, rolls/buns, support: 25
butter, domestic eggs, yogurt, support: 29
butter, root vegetables, domestic eggs, support: 32
butter, domestic eggs, other vegetables, support: 45
butter, whole milk, domestic eggs, support: 59
butter, tropical fruit, rolls/buns, support: 25
whipped/sour cream, butter, tropical fruit, support: 30
butter, root vegetables, tropical fruit, support: 35
butter, tropical fruit, yogurt, support: 45
butter, tropical fruit, other vegetables, support: 54
butter, whole milk, tropical fruit, support: 61
whipped/sour cream, butter, rolls/buns, support: 27
whipped/sour cream, butter, root vegetables, support: 34
whipped/sour cream, butter, yogurt, support: 38
whipped/sour cream, butter, other vegetables, support: 57
whipped/sour cream, butter, whole milk, support: 66
butter, root vegetables, rolls/buns, support: 38
butter, root vegetables, yogurt, support: 38
butter, root vegetables, other vegetables, support: 65
butter, root vegetables, whole milk, support: 81
butter, rolls/buns, yogurt, support: 44
other vegetables, butter, rolls/buns, support: 56
butter, whole milk, rolls/buns, support: 65
butter, other vegetables, yogurt, support: 63
butter, whole milk, yogurt, support: 92
butter, whole milk, other vegetables, support: 113
soda, canned beer, pork, support: 15
other vegetables, pork, coffee, support: 18
pork, whole milk, coffee, support: 20
sausage, pork, fruit/vegetable juice, support: 10
whipped/sour cream, pork, fruit/vegetable juice, support: 11
citrus fruit, pork, fruit/vegetable juice, support: 12
tropical fruit, pork, fruit/vegetable juice, support: 12
soda, pork, fruit/vegetable juice, support: 14
pork, fruit/vegetable juice, yogurt, support: 18
pork, fruit/vegetable juice, root vegetables, support: 20
other vegetables, pork, fruit/vegetable juice, support: 25
pork, whole milk, fruit/vegetable juice, support: 26
margarine, pork, bottled beer, support: 10
pork, yogurt, bottled beer, support: 10
pork, rolls/buns, bottled beer, support: 13
soda, pork, bottled beer, support: 13
pork, tropical fruit, bottled beer, support: 14
other vegetables, pork, bottled beer, support: 15
pork, bottled water, bottled beer, support: 16
pork, root vegetables, bottled beer, support: 16
pork, whole milk, bottled beer, support: 23
pork, brown bread, pastry, support: 11
frankfurter, pork, brown bread, support: 12
sausage, pork, brown bread, support: 12
pork, brown bread, yogurt, support: 12
soda, pork, brown bread, support: 13
pork, brown bread, root vegetables, support: 16
other vegetables, pork, brown bread, support: 21
pork, brown bread, whole milk, support: 27
citrus fruit, pork, domestic eggs, support: 10
pork, domestic eggs, pastry, support: 10
soda, pork, domestic eggs, support: 11
whipped/sour cream, pork, domestic eggs, support: 14
pork, domestic eggs, rolls/buns, support: 15
pork, domestic eggs, root vegetables, support: 19
other vegetables, pork, domestic eggs, support: 30
pork, domestic eggs, whole milk, support: 34
frankfurter, citrus fruit, pork, support: 10
frankfurter, pork, bottled water, support: 10
frankfurter, pork, pastry, support: 10
frankfurter, pork, sausage, support: 11
frankfurter, whipped/sour cream, pork, support: 12
frankfurter, pork, newspapers, support: 12
frankfurter, pork, pip fruit, support: 13
frankfurter, soda, pork, support: 13
frankfurter, pork, tropical fruit, support: 13
frankfurter, pork, yogurt, support: 14
frankfurter, pork, rolls/buns, support: 16
frankfurter, pork, root vegetables, support: 18
frankfurter, other vegetables, pork, support: 27
frankfurter, pork, whole milk, support: 28
citrus fruit, pork, pip fruit, support: 12
soda, pork, pip fruit, support: 13
margarine, pork, pip fruit, support: 13
whipped/sour cream, pork, pip fruit, support: 13
pork, pip fruit, yogurt, support: 14
pork, pip fruit, root vegetables, support: 18
pork, pip fruit, tropical fruit, support: 18
pork, pip fruit, whole milk, support: 31
other vegetables, pork, pip fruit, support: 37
pork, pastry, root vegetables, support: 14
soda, pork, pastry, support: 16
pork, pastry, rolls/buns, support: 23
other vegetables, pork, pastry, support: 28
pork, whole milk, pastry, support: 31
newspapers, margarine, pork, support: 10
margarine, pork, yogurt, support: 12
margarine, pork, tropical fruit, support: 14
margarine, pork, rolls/buns, support: 15
margarine, pork, root vegetables, support: 16
margarine, pork, other vegetables, support: 24
margarine, pork, whole milk, support: 27
pork, shopping bags, rolls/buns, support: 12
pork, shopping bags, whole milk, support: 17
pork, shopping bags, root vegetables, support: 21
other vegetables, pork, shopping bags, support: 26
citrus fruit, pork, tropical fruit, support: 10
citrus fruit, pork, bottled water, support: 11
soda, citrus fruit, pork, support: 11
whipped/sour cream, citrus fruit, pork, support: 14
citrus fruit, pork, yogurt, support: 18
citrus fruit, pork, root vegetables, support: 25
citrus fruit, pork, whole milk, support: 29
citrus fruit, pork, other vegetables, support: 33
sausage, pork, bottled water, support: 11
sausage, whipped/sour cream, pork, support: 11
sausage, soda, pork, support: 16
sausage, pork, tropical fruit, support: 16
sausage, pork, rolls/buns, support: 19
sausage, pork, yogurt, support: 19
sausage, pork, root vegetables, support: 20
sausage, other vegetables, pork, support: 29
sausage, pork, whole milk, support: 33
newspapers, whipped/sour cream, pork, support: 10
newspapers, pork, tropical fruit, support: 14
newspapers, soda, pork, support: 15
newspapers, pork, rolls/buns, support: 17
newspapers, pork, root vegetables, support: 21
newspapers, other vegetables, pork, support: 26
newspapers, pork, whole milk, support: 28
whipped/sour cream, pork, bottled water, support: 13
pork, bottled water, yogurt, support: 14
pork, bottled water, rolls/buns, support: 19
pork, bottled water, tropical fruit, support: 19
soda, pork, bottled water, support: 22
pork, bottled water, root vegetables, support: 24
other vegetables, pork, bottled water, support: 27
pork, bottled water, whole milk, support: 28
soda, whipped/sour cream, pork, support: 17
whipped/sour cream, pork, rolls/buns, support: 17
whipped/sour cream, pork, tropical fruit, support: 17
whipped/sour cream, pork, yogurt, support: 18
whipped/sour cream, pork, root vegetables, support: 21
whipped/sour cream, pork, other vegetables, support: 40
whipped/sour cream, pork, whole milk, support: 45
pork, tropical fruit, rolls/buns, support: 18
soda, pork, tropical fruit, support: 20
pork, tropical fruit, root vegetables, support: 25
pork, tropical fruit, yogurt, support: 27
other vegetables, pork, tropical fruit, support: 36
pork, whole milk, tropical fruit, support: 38
soda, pork, yogurt, support: 19
pork, rolls/buns, yogurt, support: 21
pork, root vegetables, yogurt, support: 29
other vegetables, pork, yogurt, support: 46
pork, whole milk, yogurt, support: 48
soda, pork, rolls/buns, support: 23
pork, root vegetables, rolls/buns, support: 28
other vegetables, pork, rolls/buns, support: 55
pork, whole milk, rolls/buns, support: 61
soda, pork, root vegetables, support: 28
soda, other vegetables, pork, support: 38
soda, pork, whole milk, support: 42
pork, whole milk, root vegetables, support: 67
other vegetables, pork, root vegetables, support: 69
other vegetables, pork, whole milk, support: 100
coffee, brown bread, yogurt, support: 10
coffee, brown bread, whole milk, support: 11
other vegetables, coffee, brown bread, support: 12
soda, coffee, brown bread, support: 15
canned beer, coffee, other vegetables, support: 10
canned beer, coffee, shopping bags, support: 14
soda, canned beer, coffee, support: 19
newspapers, soda, coffee, support: 10
newspapers, coffee, yogurt, support: 10
newspapers, coffee, root vegetables, support: 11
newspapers, other vegetables, coffee, support: 14
newspapers, coffee, rolls/buns, support: 14
newspapers, coffee, whole milk, support: 21
margarine, coffee, rolls/buns, support: 10
margarine, coffee, root vegetables, support: 10
margarine, coffee, tropical fruit, support: 11
margarine, coffee, pastry, support: 12
margarine, coffee, pip fruit, support: 12
margarine, coffee, domestic eggs, support: 12
margarine, coffee, yogurt, support: 13
margarine, coffee, whole milk, support: 18
margarine, coffee, other vegetables, support: 21
coffee, domestic eggs, tropical fruit, support: 10
soda, coffee, domestic eggs, support: 11
coffee, domestic eggs, root vegetables, support: 11
coffee, domestic eggs, shopping bags, support: 11
coffee, domestic eggs, pastry, support: 12
sausage, coffee, domestic eggs, support: 12
coffee, domestic eggs, rolls/buns, support: 12
coffee, domestic eggs, yogurt, support: 15
other vegetables, coffee, domestic eggs, support: 19
coffee, domestic eggs, whole milk, support: 27
coffee, fruit/vegetable juice, bottled beer, support: 10
coffee, yogurt, bottled beer, support: 12
coffee, bottled water, bottled beer, support: 12
coffee, root vegetables, bottled beer, support: 12
coffee, rolls/buns, bottled beer, support: 13
soda, coffee, bottled beer, support: 14
other vegetables, coffee, bottled beer, support: 18
coffee, whole milk, bottled beer, support: 25
frankfurter, coffee, root vegetables, support: 10
frankfurter, coffee, bottled water, support: 10
frankfurter, coffee, pastry, support: 11
frankfurter, coffee, yogurt, support: 17
frankfurter, coffee, rolls/buns, support: 18
frankfurter, other vegetables, coffee, support: 19
frankfurter, coffee, whole milk, support: 26
coffee, pip fruit, fruit/vegetable juice, support: 11
coffee, shopping bags, fruit/vegetable juice, support: 12
coffee, fruit/vegetable juice, rolls/buns, support: 12
coffee, fruit/vegetable juice, root vegetables, support: 12
coffee, bottled water, fruit/vegetable juice, support: 17
coffee, fruit/vegetable juice, yogurt, support: 19
tropical fruit, coffee, fruit/vegetable juice, support: 19
other vegetables, coffee, fruit/vegetable juice, support: 24
coffee, whole milk, fruit/vegetable juice, support: 26
soda, coffee, fruit/vegetable juice, support: 26
whipped/sour cream, coffee, rolls/buns, support: 10
whipped/sour cream, coffee, citrus fruit, support: 11
sausage, whipped/sour cream, coffee, support: 11
whipped/sour cream, coffee, bottled water, support: 11
whipped/sour cream, coffee, pip fruit, support: 12
soda, whipped/sour cream, coffee, support: 13
whipped/sour cream, coffee, root vegetables, support: 13
whipped/sour cream, coffee, tropical fruit, support: 14
whipped/sour cream, coffee, yogurt, support: 17
whipped/sour cream, coffee, other vegetables, support: 28
whipped/sour cream, coffee, whole milk, support: 34
soda, citrus fruit, coffee, support: 10
citrus fruit, coffee, pastry, support: 10
citrus fruit, coffee, rolls/buns, support: 10
citrus fruit, coffee, yogurt, support: 11
sausage, citrus fruit, coffee, support: 12
citrus fruit, coffee, shopping bags, support: 12
citrus fruit, coffee, pip fruit, support: 12
citrus fruit, coffee, tropical fruit, support: 13
citrus fruit, coffee, root vegetables, support: 14
citrus fruit, coffee, whole milk, support: 22
citrus fruit, coffee, other vegetables, support: 23
coffee, shopping bags, pastry, support: 10
sausage, coffee, pastry, support: 10
soda, coffee, pastry, support: 12
coffee, pastry, root vegetables, support: 13
other vegetables, coffee, pastry, support: 17
tropical fruit, coffee, pastry, support: 19
coffee, pastry, rolls/buns, support: 19
coffee, pastry, yogurt, support: 22
coffee, whole milk, pastry, support: 26
sausage, coffee, tropical fruit, support: 10
sausage, coffee, bottled water, support: 10
sausage, coffee, shopping bags, support: 14
sausage, soda, coffee, support: 14
sausage, coffee, root vegetables, support: 14
sausage, coffee, yogurt, support: 17
sausage, coffee, rolls/buns, support: 19
sausage, other vegetables, coffee, support: 23
sausage, coffee, whole milk, support: 27
coffee, pip fruit, pastry, support: 10
coffee, pip fruit, shopping bags, support: 11
soda, coffee, pip fruit, support: 11
coffee, pip fruit, rolls/buns, support: 13
coffee, pip fruit, yogurt, support: 15
coffee, pip fruit, root vegetables, support: 20
coffee, pip fruit, tropical fruit, support: 24
other vegetables, coffee, pip fruit, support: 25
coffee, pip fruit, whole milk, support: 26
coffee, tropical fruit, rolls/buns, support: 15
coffee, shopping bags, tropical fruit, support: 15
coffee, tropical fruit, root vegetables, support: 18
soda, coffee, tropical fruit, support: 19
other vegetables, coffee, tropical fruit, support: 26
coffee, whole milk, tropical fruit, support: 27
coffee, tropical fruit, yogurt, support: 30
coffee, shopping bags, root vegetables, support: 12
soda, coffee, root vegetables, support: 14
coffee, root vegetables, yogurt, support: 21
coffee, root vegetables, rolls/buns, support: 21
other vegetables, coffee, root vegetables, support: 34
coffee, whole milk, root vegetables, support: 39
coffee, bottled water, shopping bags, support: 11
coffee, bottled water, root vegetables, support: 11
other vegetables, coffee, bottled water, support: 21
coffee, bottled water, rolls/buns, support: 22
coffee, bottled water, yogurt, support: 22
soda, coffee, bottled water, support: 24
coffee, bottled water, whole milk, support: 26
coffee, shopping bags, yogurt, support: 14
coffee, shopping bags, rolls/buns, support: 16
soda, coffee, shopping bags, support: 18
other vegetables, coffee, shopping bags, support: 23
coffee, shopping bags, whole milk, support: 31
soda, coffee, yogurt, support: 20
coffee, rolls/buns, yogurt, support: 23
other vegetables, coffee, yogurt, support: 35
coffee, whole milk, yogurt, support: 50
soda, coffee, rolls/buns, support: 21
soda, other vegetables, coffee, support: 26
soda, coffee, whole milk, support: 32
other vegetables, coffee, rolls/buns, support: 29
coffee, whole milk, rolls/buns, support: 46
other vegetables, coffee, whole milk, support: 63
other vegetables, margarine, canned beer, support: 14
margarine, whole milk, canned beer, support: 14
margarine, shopping bags, tropical fruit, support: 10
bottled water, margarine, shopping bags, support: 10
margarine, shopping bags, pastry, support: 11
margarine, sausage, shopping bags, support: 11
margarine, shopping bags, domestic eggs, support: 12
margarine, shopping bags, yogurt, support: 13
margarine, shopping bags, rolls/buns, support: 15
margarine, shopping bags, other vegetables, support: 21
margarine, whole milk, shopping bags, support: 25
margarine, yogurt, bottled beer, support: 10
margarine, domestic eggs, bottled beer, support: 11
margarine, tropical fruit, bottled beer, support: 11
margarine, bottled water, bottled beer, support: 14
margarine, soda, bottled beer, support: 14
margarine, rolls/buns, bottled beer, support: 17
margarine, other vegetables, bottled beer, support: 27
margarine, whole milk, bottled beer, support: 30
margarine, brown bread, fruit/vegetable juice, support: 10
newspapers, margarine, fruit/vegetable juice, support: 10
whipped/sour cream, margarine, fruit/vegetable juice, support: 10
margarine, soda, fruit/vegetable juice, support: 11
margarine, domestic eggs, fruit/vegetable juice, support: 12
margarine, root vegetables, fruit/vegetable juice, support: 12
margarine, fruit/vegetable juice, rolls/buns, support: 13
margarine, tropical fruit, fruit/vegetable juice, support: 14
margarine, bottled water, fruit/vegetable juice, support: 16
margarine, fruit/vegetable juice, yogurt, support: 23
margarine, fruit/vegetable juice, other vegetables, support: 25
margarine, whole milk, fruit/vegetable juice, support: 33
frankfurter, margarine, bottled water, support: 10
frankfurter, margarine, soda, support: 10
frankfurter, margarine, domestic eggs, support: 10
frankfurter, margarine, whipped/sour cream, support: 11
frankfurter, margarine, pastry, support: 11
frankfurter, margarine, brown bread, support: 11
frankfurter, margarine, sausage, support: 14
frankfurter, margarine, rolls/buns, support: 14
frankfurter, margarine, tropical fruit, support: 14
frankfurter, margarine, other vegetables, support: 14
frankfurter, margarine, yogurt, support: 17
frankfurter, margarine, whole milk, support: 24
margarine, brown bread, citrus fruit, support: 10
newspapers, margarine, brown bread, support: 10
bottled water, margarine, brown bread, support: 11
margarine, root vegetables, brown bread, support: 13
margarine, brown bread, rolls/buns, support: 15
margarine, brown bread, yogurt, support: 15
margarine, soda, brown bread, support: 16
margarine, sausage, brown bread, support: 17
margarine, brown bread, other vegetables, support: 23
margarine, whole milk, brown bread, support: 30
margarine, pastry, citrus fruit, support: 11
margarine, domestic eggs, pastry, support: 11
margarine, bottled water, pastry, support: 13
margarine, sausage, pastry, support: 13
margarine, soda, pastry, support: 13
margarine, pip fruit, pastry, support: 13
margarine, tropical fruit, pastry, support: 17
margarine, pastry, rolls/buns, support: 19
margarine, pastry, other vegetables, support: 24
margarine, pastry, yogurt, support: 25
margarine, whole milk, pastry, support: 35
whipped/sour cream, margarine, sausage, support: 10
whipped/sour cream, margarine, newspapers, support: 10
whipped/sour cream, margarine, soda, support: 11
whipped/sour cream, margarine, bottled water, support: 12
whipped/sour cream, margarine, pip fruit, support: 13
whipped/sour cream, margarine, citrus fruit, support: 13
whipped/sour cream, margarine, domestic eggs, support: 15
whipped/sour cream, margarine, rolls/buns, support: 18
whipped/sour cream, margarine, tropical fruit, support: 21
whipped/sour cream, margarine, root vegetables, support: 22
whipped/sour cream, margarine, yogurt, support: 31
whipped/sour cream, margarine, other vegetables, support: 34
whipped/sour cream, margarine, whole milk, support: 40
newspapers, margarine, domestic eggs, support: 10
newspapers, margarine, tropical fruit, support: 11
newspapers, margarine, root vegetables, support: 11
newspapers, margarine, citrus fruit, support: 12
newspapers, margarine, pip fruit, support: 12
newspapers, margarine, soda, support: 15
newspapers, margarine, yogurt, support: 15
newspapers, margarine, bottled water, support: 16
newspapers, margarine, rolls/buns, support: 21
newspapers, margarine, other vegetables, support: 22
newspapers, margarine, whole milk, support: 31
margarine, sausage, bottled water, support: 10
margarine, sausage, pip fruit, support: 12
margarine, sausage, tropical fruit, support: 13
margarine, sausage, domestic eggs, support: 15
margarine, sausage, citrus fruit, support: 15
soda, margarine, sausage, support: 15
margarine, sausage, root vegetables, support: 16
margarine, sausage, yogurt, support: 20
margarine, sausage, other vegetables, support: 21
margarine, sausage, rolls/buns, support: 28
margarine, sausage, whole milk, support: 33
margarine, bottled water, citrus fruit, support: 11
margarine, soda, citrus fruit, support: 14
margarine, pip fruit, citrus fruit, support: 15
margarine, domestic eggs, citrus fruit, support: 16
margarine, rolls/buns, citrus fruit, support: 16
margarine, tropical fruit, citrus fruit, support: 17
margarine, root vegetables, citrus fruit, support: 20
margarine, other vegetables, citrus fruit, support: 25
margarine, yogurt, citrus fruit, support: 26
margarine, whole milk, citrus fruit, support: 29
margarine, soda, domestic eggs, support: 14
margarine, pip fruit, domestic eggs, support: 18
bottled water, margarine, domestic eggs, support: 21
margarine, domestic eggs, tropical fruit, support: 22
margarine, domestic eggs, yogurt, support: 22
margarine, domestic eggs, rolls/buns, support: 24
margarine, root vegetables, domestic eggs, support: 25
margarine, domestic eggs, other vegetables, support: 39
