,items
3402,"{'k', 'll', 'm', 'vi', 'grep', 'cd', 'man', '-f', '<1>', '<2>', 'lwinfo', '-v', 'mv', '|', 'lpr', '-P', 'z', '-cv', 'cut'}"
3403,"{'cd', 'version', '<1>', 'll', '-a', '&', 'ls', '-geometry', 'exit', 'set', 'uname', 'xterm', 'arch'}"
3404,"{'ps', '|', '<1>', 'man', '-a', '-Al', '-gux', '-uxwww', 'grep'}"
3405,"{'ps', '|', '<1>', 'z', '-Al', 'exit', 'grep'}"
3406,"{'z', 'X'}"
3407,"{'z', 'pine'}"
3408,"{'uc', '<', 'k', 'rlog', 'w', '-r1.8', 'll', '-b', '>', '!', 'm', 'vi', 'ftp', 'r', 'h', 'cd', 'man', 'pop', '&', 'gv', '>>', 'ci', 'findall', '<GENSYM:16>/run_tests.sh', '<GENSYM:16>/glom_data.sh', 'xlock', 'ct', 'ping', '<1>', '<2>', '-l', '-t', 'rlogin', 'mailx', '-p', 'tar', 'co', 'mv', 'f', 'z', '-mode', 'latex', 'push', '<3>', 'rm'}"
3409,{'z'}
3410,"{'<', 'wc', 'll', '>', 'cp', 'cd', ';', 'pop', '&', '<GENSYM:20>/<GENSYM:6>]', 'gv', 'ct', '<1>', 'dvips', 'mailx', 'popd', '-w', 'z', 'testit.dvi', 'xdvi', 'latex', 'push', 'ls', '<3>', 'pushd'}"
3411,"{'cd', '<1>', 'z', '&', '>>', '!', '<GENSYM:16>/run_tests.sh', 'm', 'rm'}"
3412,"{'z', 'X'}"
3413,"{'<1>', 'z', 'll', 'pine', 'ct'}"
3414,"{'k', 'wc', 'll', 'cp', 'vi', 'grep', 'cd', 'unrm', 'pop', '&', '-print', 'ci', 'ct', '<1>', '-l', '<2>', 'fg', '-', '-name', 'setenv', '-w', 'find', 'mv', '|', 'f', 'z', 'chmod', 'latex', 'xdvi', 'push', 'rm'}"
3415,"{'<1>', '<2>', 'z', 'xdvi', 'latex', '&', 'cp'}"
3416,"{'z', 'X'}"
3417,"{'z', 'pine'}"
3418,"{'cd', '<1>', 'f', '-mode', 'w', 'll', 'gv', 'xlock'}"
3419,"{'cd', '<1>', 'z', '-mode', 'll', 'vi', 'xlock', 'ct'}"
3420,"{'<1>', 'z', 'xdvi', 'latex', '&'}"
3421,"{'z', 'X'}"
3422,"{'z', 'pine'}"
3423,"{'z', '<1>', 'k', 'ez'}"
3424,"{'cd', '<1>', '<2>', 'z', 'ls', '-d', 'telnet', 'lp'}"
3425,"{'z', 'X'}"
3426,{'z'}
3427,"{'z', 'pine'}"
3428,"{'z', 'X'}"
3429,"{'z', 'pine'}"
3430,"{'cd', '<1>', '-l', '<2>', 'z', 'll', 'ci', 'cp', 'vi'}"
3431,"{'z', '<1>', 'r'}"
3432,"{'cd', '<1>', 'k', 'z', 'pine', 'findall'}"
3433,"{'z', 'X'}"
3434,{'z'}
3435,"{'z', 'pine'}"
3436,"{'xauth', 'c', 'll', 'm', 'vi', 'r', 'newalias', 'cd', 'bg', 'echo', 'man', '&', 'rsh', 'xlock', 'xhost', '<1>', '<2>', 'fg', 'z', '-mode'}"
3437,"{'<1>', '<2>', 'z', '&', 'workman', '-display', 'setenv'}"
3438,"{'<1>', 'f', 'z', 'pine', 'fg'}"
3439,"{'z', 'X'}"
3440,"{'cd', '<1>', 'k', 'z', 'pine', '-'}"
3441,"{'k', 'll', '>', '!', 'grep', 'r', 'cd', 'man', 'pop', '&', 'findall', '<GENSYM:12>/scan', 'xlock', '<7>', 'make', '<1>', '<2>', '-l', '-t', '-h', '-c', 'trouble', '-m', '-', '-p', '-w', '-P', 'z', '-mode', '-S', 'push', '-d'}"
3442,"{'ps', 'who', 'z', 'w', '-guxawww'}"
3443,"{'z', 'X'}"
3444,"{'xhost', 'cd', 'bg', '<1>', '<2>', '&', 'll', 'r', 'fg', 'rsh', '%1'}"
3445,"{'cd', '<1>', 'z', 'll', 'pine', 'm'}"
3446,"{'cd', '<1>', 'gcc', '<2>', 'k', 'll', 'push', 'g++', 'm', 'vi', 'grep', 'ct'}"
3447,"{'ps', '-HUP', '<1>', '<2>', 'kill', 'z', 'eject', '&', '-guxwwww', 'workman', '-gux', 'setenv', '%1'}"
3448,"{'z', 'eject', 'X'}"
3449,"{'workman', '&', '<1>', 'll'}"
3450,"{'wc', 'll', 'm', 'vi', 'cd', 'man', 'pop', '-s', '&', '>>', '<1>', '<2>', '-l', '-', '<GENSYM:1>/runall.sh', 'ln', 'z', 'chmod', 'push'}"
3451,"{'cd', '<1>', 'z', 'll', 'file'}"
3452,"{'exec', '<1>'}"
3453,"{'cd', '<1>', 'man', 'z', 'll', 'xs', 'm', 'file'}"
3454,"{'z', 'pine'}"
3455,"{'z', 'X'}"
3456,"{'mv', 'cd', '<1>', '<', 'k', '<2>', 'f', 'z', 'pop', 'touch', '-s', 'll', 'mailx', 'cp', 'm', 'vi', 'rm'}"
3457,"{'<', 'k', 'chgrp', 'll', 'md', 'xrdb', 'm', 'vi', 'cd', 'man', '-s', '-print', '<1>', '-merge', '<2>', 'pine', 'mailx', '-name', 'find', 'mv', 'f', 'z', 'chmod'}"
3458,"{'cd', '<1>', '|', '-f1', '-l', '<2>', '-d:', 'ruptime', 'f', 'wc', '<GENSYM:6>', 'll', 'ls', 'cut', 'host', '`', 'grep', 'ping'}"
3459,"{'cd', '<1>', '<2>', '(', 'find'}"
3460,"{'z', 'X'}"
3461,"{'-l', 'r', '<2>'}"
3462,"{'ph', '<', '-d:', 'k', 'wc', 'll', '>', '!', 'm', '-group', 'vi', '<GENSYM:1>/collect.sh', 'grep', 'h', 'cd', '-rf', 'man', 'pop', '-print', '&', 'unsetenv', '-vc', 'xlock', 'ct', 'xhost', '<1>', '-perm', '-f1', '<2>', '-l', 'xargs', '<GENSYM:21>/run_tests.sh', '-R', '-', '<GENSYM:21>/glom_data.sh', '-name', 'setenv', 'find', '|', 'f', 'z', 'archie', 'chmod', '-mode', 'push', 'cut', 'rm'}"
3463,{'pine'}
3464,"{'<1>', 'r'}"
3465,"{'<1>', 'echo', '-l', 'f', '<2>', '&', 'workman', 'r'}"
3466,"{'|', '<1>', 'cd', 'k', 'xlock', '<2>', 'z', '-mode', 'zcat', 'll', 'md', '-', 'cp', 'm', 'tar', 'ct'}"
3467,"{'cd', '<1>', 'k', '<2>', 'z', 'll', 'vi', 'telnet'}"
3468,"{'z', 'X'}"
3469,"{'-l', 'z', 'r', '<2>'}"
3470,"{'ll', '>', '!', 'm', '<GENSYM:1>/collect.sh', 'vi', 'r', 'cd', '-print', '&', '<1>', '<2>', '<GENSYM:21>/run_tests.sh', '-h', '<GENSYM:21>/scan', '-name', '<GENSYM:21>/glom_data.sh', 'find', 'z', 'foreach', 'rm'}"
3471,"{'z', 'pine'}"
3472,"{'cd', '<1>', 'z', 'll', '<GENSYM:21>/glom_data.sh', 'm', 'rm'}"
3473,"{'z', 'X'}"
3474,"{'z', 'pine'}"
3475,{'z'}
3476,"{'z', 'X'}"
3477,"{'df', 'cd', '<1>', 'k', 'z', '-k', 'll'}"
3478,"{'<1>', 'k', '<2>', 'z', 'pine', 'telnet', 'ping'}"
3479,"{'k', 'chgrp', 'll', 'help', 'm', '<GENSYM:1>/collect.sh', 'r', 'lf', 'cd', 'man', 'pop', '>>', 'findall', 'cat', 'xlock', '<1>', '<2>', '-R', 'pine', '-H', 'fg', '<GENSYM:21>/glom_data.sh', '-ri', 'f', 'z', 'chmod', '-mode', 'date', 'push', 'super', 'rm'}"
3480,"{'df', 'cd', '<1>', 'z', '-k', 'll', 'trouble', 'du', 'fg'}"
3481,"{'z', 'X'}"
3482,"{'z', 'pine'}"
3483,"{'ph', 'll', 'md', 'cp', 'r', 'cd', '-s', '-a', 'xlock', '<1>', '-l', '<2>', 'reset', 'mv', 'ln', 'f', 'stty', 'z', '-mode', '<3>'}"
3484,"{'cd', '<1>', 'z', 'xdvi', 'latex', '&'}"
3485,"{'z', 'X'}"
3486,"{'<1>', 'r'}"
3487,"{'xhost', '<1>', '<2>', 'f', 'z', '-mode', 'xlock'}"
3488,"{'z', 'pine'}"
3489,"{'ph', 'k', 'pgp', 'll', 'which', '-kv', 'r', 'cd', 'cat', 'ct', 'xlock', '<1>', '-l', '<2>', 'telnet', 'f', 'z', '-mode', '<GENSYM:22>/dtfile', 'rm'}"
3490,"{'workman', '&'}"
3491,"{'z', 'X'}"
3492,"{'z', '<1>', 'r'}"
3493,"{'oed', 'ps', '<1>', 'f', 'z', '-mode', '-guxawww', '-ef', 'xlock'}"
3494,"{'mv', 'cd', '<1>', '<2>', 'z', 'pine', 'll', 'md', 'findall', 'm', 'vi'}"
3495,"{'z', 'X'}"
3496,"{'z', '-mode', '<1>', 'xlock'}"
3497,"{'z', 'pine'}"
3498,"{'z', 'X'}"
3499,{'z'}
3500,"{'z', 'pine'}"
3501,"{'ph', 'pgp', 'k', 'chgrp', 'll', 'md', 'm', 'vi', 'cd', ';', 'uudecode', '<4>', 'ct', '<1>', '<2>', 'zcat', '-', ')', 'tar', 'mv', '|', 'f', 'z', 'chmod', '(', 'rm'}"
3502,"{'cd', '<1>', 'xdvi', 'latex', '&'}"
3503,"{'<2>', 'z', '-l', 'rlogin'}"
3504,"{'cd', '<1>', 'z', 'xdvi', 'latex', '&'}"
3505,"{'z', 'X'}"
3506,"{'z', 'pine'}"
3507,"{'cd', '<1>', 'll'}"
3508,"{'cd', '<1>', 'k', '<2>', 'z', '-mode', 'xdvi', 'll', '-print', '&', 'findall', '-name', 'find', 'rm', 'xlock'}"
3509,"{'z', 'X'}"
3510,"{'mv', 'cd', '<1>', '|', 'k', '<2>', 'z', 'zcat', 'll', 'md', 'findall', '-', 'vi', 'tar'}"
3511,"{'z', 'pine'}"
3512,"{'<GENSYM:23>/unpack.sh', 'll', '>', 'cp', 'm', 'vi', '-rf', 'cd', 'echo', 'man', 'pop', '-f2', '-d.', 'cat', 'diff', '<1>', '<2>', '-R', '-', 'tar', 'mv', '|', 'sh', 'z', 'chmod', 'push', 'cut', 'rm'}"
3513,"{'z', 'ph', '<1>', 'pine'}"
3514,"{'z', 'X'}"
3515,"{'w', 'll', 'md', 'm', 'vi', 'file', 'r', 'cd', 'pop', 'vhmod', 'gv', 'findall', 'xlock', 'ps', '<1>', '<2>', '-', 'mv', 'f', 'z', 'chmod', '-mode', 'rm'}"
3516,"{'z', 'pine'}"
3517,"{'k', 'w', 'll', 'm', 'r', 'grep', 'cd', 'gv', 'findall', '-guxawww', 'ps', '<1>', '<2>', 'zot', 'talk', 'telnet', '|', 'f', 'z', 'rm'}"
3518,"{'<1>', '<2>', 'z', 'talk', 'ytalk'}"
3519,"{'ps', '|', '<1>', 'z', '-guxawww', 'grep'}"
3520,"{'<', 'k', 'wc', 'll', 'md', 'm', 'cd', '-s', '-f', 'ncftp', 'du', 'findall', 'unsetenv', 'ct', '<1>', '<2>', 'pine', 'fg', 'mailx', 'matlab', '-w', 'tar', 'nn', 'z', '<3>', 'rm'}"
3521,"{'z', 'X'}"
3522,"{'z', 'pine'}"
3523,{'z'}
3524,"{'z', 'pine'}"
3525,"{'z', 'X'}"
3526,"{'wc', 'll', '-o', 'r', 'grep', 'cd', '-bame', '-prune', 'man', '<4>', '-print', '-1', 'gv', 'xlock', 'lwpages', '<1>', '-perm', '<2>', '-l', 'lwinfo', '-newer', 'dvips', '-name', 'find', 'nn', 'lpr', '|', '-P', 'f', 'z', '-mode', 'bc', 'ls', '<3>', 'history.961230212239.21890'}"
3527,"{'z', 'pine'}"
3528,"{'z', 'X'}"
3529,"{'cd', '<1>', 'k', '-l', '<2>', 'z', 'll', 'findall', 'vi', 'r'}"
3530,"{'<GENSYM:24>/talk', 'k', 'wc', 'w', 'll', '>', 'which', 'cp', 'vi', 'grep', 'cd', '-2r', 'man', '-f', 'ncftp', 'findall', 'cat', 'enscript', 'ct', 'xlock', '<1>', '<2>', '-l', '-Pmsl22', 'talk', 'write', '-c', '<GENSYM:11>/talk', 'mv', 'lpr', '-plit.ps', 'z', '-mode', 'com', 'rm'}"
3531,"{'z', 'pine'}"
3532,"{'cd', '<1>', '-f', 'll', 'pine', 'findall', 'vi', 'rm', 'ct'}"
3533,"{'z', 'X'}"
3534,"{'k', 'pgp', '-i', 'w', 'll', 'md', 'which', 'm', 'vi', 'grep', 'file', 'cd', 'echo', 'man', 'pop', 'findall', '>>', 'cat', '<GENSYM:1>/foo.csh', 'xlock', 'ct', '<1>', '<2>', '-h', '-Pfoo', '-R', 'fg', 'set', '-P', 'f', 'z', 'chmod', '-mode', '-k', 'ls', 'push', '-kd', '<3>', 'unset', 'rm'}"
3535,"{'z', 'pine'}"
3536,"{'cd', '<1>', 'newgrp', 'k', '<2>', 'z', '-c', 'll', 'grep', '-ic'}"
3537,"{'cd', '<1>', 'xdvi', 'latex', '&'}"
3538,"{'k', '-i', 'chgrp', 'll', 'md', '-xd', 'cp', 'vi', 'grep', 'strings', 'cd', 'pop', 'touch', '&', 'ci', '<1>', '<2>', '-l', '-', '-xe', 'co', '|', 'z', 'chmod', 'xdvi', 'push', 'umask', 'my_latex', 'rehash'}"
3539,{'slirp'}
3540,{'pine'}
3541,"{'z', 'X'}"
3542,"{'z', 'pine'}"
3543,"{'ps', 'cd', '<1>', 'k', '-l', '<2>', 'f', 'cdx', 'z', 'w', 'll', '-guxawww', 'findall', 'm', 'rm', 'r', 'ct'}"
3544,"{'z', 'w', 'X'}"
3545,"{'z', 'pine'}"
3546,"{'z', '<1>', 'k', 'r'}"
3547,"{'<GENSYM:16>/scan', 'pgp', 'k', 'eject', 'wc', 'll', 'md', '>', 'm', 'file', 'cd', '-s', '&', 'findall', 'ct', 'xlock', '<GENSYM:25>/prepare_data.sh', '<1>', '<2>', '-l', '-t', '<5>', '-h', 'zcat', '-c', '-', '<GENSYM:16>/prepare_data.sh', '-m', '-w', 'tar', 'mv', '|', 'z', '-mode', 'com', 'date', 'xdvi', '-d', '`', 'rm'}"
3548,"{'z', 'cd', '<1>', 'll'}"
3549,"{'<1>', 'z', 'w', 'pine', 'spy'}"
3550,{'slirp'}
3551,"{'cd', '<1>', 'elm', 'z', 'll', 'pine', '>', 'fg', 'cat'}"
3552,{'slirp'}
3553,"{'ph', 'll', 'm', 'vi', 'r', 'cd', 'findall', '<1>', 'elm', '-l', '<2>', 'pine', 'fg', 'tar', 'uptime', 'nn', 'mv', 'z', 'com', '<3>'}"
3554,"{'z', 'X'}"
3555,"{'<1>', 'r'}"
3556,"{'xhost', 'cd', '<1>', 'mv', 'k', '<2>', 'f', 'z', 'll', 'md', 'cp', 'grep'}"
3557,"{'z', 'pine'}"
3558,"{'workman', '&'}"
3559,"{'z', 'X'}"
3560,"{'z', 'pine'}"
3561,"{'ps', 'cd', '<1>', 'k', '-i', 'f', '<2>', 'z', '-mode', 'akcl', 'll', 'fg', '-help', 'telnet', 'grep', 'xlock'}"
3562,"{'z', 'X'}"
3563,"{'m', '<1>', 'af'}"
3564,"{'z', '<1>', 'spy', 'pine'}"
3565,"{'<', 'k', 'w', 'll', '>', 'tstr', 'vi', 'grep', 'cd', 'uudecode', '&', 'findall', 'ct', 'xlock', '<1>', '<2>', 'erp', 'zcat', '-', '-p', 'tar', 'mv', '|', 'ln', '-mode', 'latex', 'xdvi', '<3>', '`', 'rm'}"
3566,"{'z', 'X'}"
3567,"{'<1>', 'z', 'w', 'findall', 'spy'}"
3568,"{'z', 'pine'}"
3569,"{'ph', 'k', '-all', 'll', 'm', 'jove', 'cd', '-a', 'findall', 'ct', 'emacs', '-nw', '<1>', 'msp', 'reset', 'pine', 'fg', 'nn', 'stty', 'rm'}"
3570,"{'slirp', '<1>', 'which', 'll'}"
3571,"{'cd', '<1>', '<2>', 'f', 'z', 'talk', 'w', '<GENSYM:11>/talk', 'write', 'pine', 'll', 'findall', 'which', 'm', 'rsh', 'spy'}"
3572,"{'<1>', '-l', '<2>', 'z', 'pine', 'rmow', 'r'}"
3573,"{'z', 'X'}"
3574,"{'z', 'pine'}"
3575,"{'cd', '<1>', '00Contents', 'k', 'll', 'm'}"
3576,"{'z', 'pine'}"
3577,"{'findall', 'pine'}"
3578,"{'mv', 'cd', '<1>', '<2>', 'chmod', 'll', 'm', 'vi'}"
3579,"{'z', 'X'}"
3580,"{'z', 'pine'}"
3581,"{'cd', '<1>', 'll'}"
3582,"{'cd', '<1>', 'z', 'xdvi', 'latex', '&'}"
3583,{'slirp'}
3584,"{'emacs', '-nw', '<1>', 'cd', 'ph', 'tar', 'com', 'll', 'pine', 'findall', 'fg', '<3>', 'rm'}"
3585,"{'k', '-i', 'll', 'cd', 'man', 'cpio', 'findall', '<1>', '<2>', 'zcat', 'pine', '-H', '-', 'tar', 'mv', '|', 'date', '-d', 'rm'}"
3586,"{'z', 'X'}"
3587,"{'z', 'pine'}"
3588,"{'k', 'wc', 'finda', 'w', 'll', 'm', 'vi', 'grep', 'cd', ';', 'man', 'pop', 'af', 'po', '&', '-1', 'gv', 'findall', 'xlock', '<1>', 'alias', '<2>', '-l', 'grp', 'write', '-c', 'fg', '-', 'matlab', 'mv', 'ln', 'f', 'z', '-mode', 'push', 'ls', 'xfig'}"
3589,"{'cd', '<1>', '<2>', '-t', 'z', 'xdvi', 'latex', '&', 'gv', 's', 'slitex', 'dvips', '-paper'}"
3590,"{'<', 'k', 'll', '>', '!', 'm', 'vi', '-ps', 'grep', 'r', 'cd', 'qu', 'unrm', '-s', '-f', '&', '-guxawww', 'tail', 'ct', 'ps', 'df', '<1>', '<2>', 'who', '-v', 'pine', 'fg', 'mailx', '|', 'f', 'users', '-k', '-kd', 'my_latex', 'rm'}"
3591,"{'ph', '-HUP', '<', 'w', 'll', '>', '-D', 'cp', 'm', 'jove', 'file', 'cd', 'man', 'pop', 'cat', 'spy', 'ct', 'emacs', '-nw', '<1>', 'df', '<2>', '-t', 'kill', 'reset', 'tput', 'clear', '-Z', 'fg', '-', 'dvips', 'mailx', 'latex', '-k', 'push', '<3>', '-d', 'rm'}"
3592,"{'cd', '<1>', 'pwd', 'k', 'f', 'z', 'pine', 'll'}"
3593,"{'ps', '|', '<1>', 'ruptime', 'z', 'w', '-v', '-guxa', 'grep', 'spy'}"
3594,{'slirp'}
3595,"{'|', '<1>', 'df', '-k', 'pine', '-50', 'tail', 'm', 'uptime'}"
3596,"{'z', 'X'}"
3597,"{'z', '<1>', 'r'}"
3598,"{'z', '-mode', '<1>', 'xlock'}"
3599,"{'z', 'pine'}"
3600,"{'z', 'X'}"
3601,"{'k', 'll', 'md', '>', 'cp', '\\man', 'cd', 'man', 'giftoppm', '&', '-verbose', 'ct', '<1>', '<2>', 'xv', 'mv', 'f', '-k', 'latex', '<3>'}"
3602,"{'z', 'pine'}"
3603,"{'k', 'eject', 'w', 'll', 'cp', 'm', 'r', 'cd', 'man', 'pop', '&', 'gv', 'findall', 'rl', 'xlock', 'df', '<1>', '-l', '<2>', 'rlogin', '-', 'f', 'z', '-mode', '-k', 'xdvi', 'push', 'my_latex', 'rm'}"
3604,"{'k', 'll', '>', 'cp', 'cd', ';', 'man', 'pop', 'gv', '<1>', '<2>', '-t', 'dvips', 'tar', 'z', 'com', 'latex', 'uuencode', 'push', '<3>', 'rm'}"
3605,{'slirp'}
3606,{'pine'}
3607,"{'z', 'df', '<1>', '-k'}"
3608,"{'df', '<1>', 'X', 'z', '-k'}"
3609,"{'mv', 'cd', '<1>', '<2>', '-l', 'f', 'z', 'latex', 'll', 'gv', 'cp', 'ci', '-', '-display', 'vi', 'rm', 'ct'}"
3610,"{'z', 'pine'}"
3611,"{'z', 'X'}"
3612,"{'z', '<1>', 'f'}"
3613,"{'z', 'pine'}"
3614,"{'ph', '<1>', 'cd', 'k', '-i', 'f', '<2>', 'pine', 'll', 'r', '<3>', 'findall', 'grep'}"
3615,"{'findall', '<1>', 'telnet', 'pine'}"
3616,"{'mv', 'cd', '<1>', '<2>', 'll', 'md', 'rm', 'vi', 'tar', 'file'}"
3617,"{'cd', '<1>', '-HUP', '<2>', 'f', 'kill', 'talk', 'w', 'write', 'pine', 'll', '-print', 'findall', '-name', 'm', 'find', 'r', 'spy'}"
3618,"{'mv', 'cd', '<1>', '<', 'k', '<2>', 'uudecode', 'll', 'md', '>', '-p', 'tstr', '`'}"
3619,{'X'}
3620,"{'mv', 'cd', '<1>', '-sb', 'k', '<2>', 'pgp', 'pop', '-h', 'll', 'pine', 'md', 'push', '-', 'cp', 'm', 'rm'}"
3621,{'ct'}
3622,"{'cd', '<1>', 'k', '-mode', 'll', 'xlock'}"
3623,"{'z', 'X'}"
3624,"{'mv', 'cd', '<1>', '<2>', 'z', 'chmod', 'zl', 'll', 'vi'}"
3625,"{'z', 'pine'}"
3626,"{'k', '-i', 'c', 'll', 'md', 'm', 'grep', 'cd', ';', 'zl', '-f', 'ncftp', '-print', 'gv', 'tail', 'ct', '<1>', '<2>', '-R', '-', '-name', ')', 'find', 'tar', 'mv', '|', 'f', 'z', 'chmod', '(', '-d'}"
3627,"{'z', 'X'}"
3628,"{'z', 'pine'}"
3629,"{'cd', '<1>', 'k', 'ispell', 'z', 'll', 'tail', 'vi', 'rm'}"
3630,{'pine'}
3631,{'slirp'}
3632,"{'|', '<1>', 'k', 'pine', '-70', 'findall', 'tail', '~'}"
3633,"{'uc', '<', 'k', 'll', 'md', '>', '!', 'm', 'vi', 'file', 'oed', 'cd', 'uudecode', 'unsetenv', 'ct', 'emacs', '<1>', '<2>', 'cmp', 'zcat', '-', 'mailx', '-p', 'tar', '|', 'lynx', 'head'}"
3634,"{'z', 'X'}"
3635,"{'z', 'pine'}"
3636,"{'cd', '<1>', 'gcc', '<2>', 'z', '-mode', 'll', 'findall', '<GENSYM:1>/prob', '-o', 'xlock'}"
3637,"{'z', 'X'}"
3638,"{'z', '<1>', 'k'}"
3639,"{'z', 'findall', 'pine'}"
3640,"{'z', 'X'}"
3641,"{'z', 'pine'}"
3642,"{'<1>', 'k', 'z', '-mode', 'xlock'}"
3643,"{'<1>', 'echo', '<2>', 'X', 'z', 'vi', 'grep'}"
3644,"{'<1>', 'z', '-mode', 'netscape', '&', 'r', 'xlock'}"
3645,"{'z', '<1>', 'r', 'pine'}"
3646,"{'z', 'pine'}"
3647,"{'cd', '<1>', 'pwd', 'ln', '-la', 'qu', '<5>', '<2>', 'z', '-s', 'll', 's', 'ls', 'cp', 'vi', 'source'}"
3648,"{'z', 'X'}"
3649,"{'ph', 'k', 'll', 'm', 'vi', 'grep', 'cd', 'pop', '-print', '<1>', '<2>', '-', '-name', 'find', 'mv', 'f', 'z', 'chmod', 'push'}"
3650,"{'z', '<1>', 'k', 'f'}"
3651,"{'z', 'pine'}"
3652,{'slirp'}
3653,"{'cd', '<1>', '<2>', '-i', 'll', 'pine', 'fg', 'cp', 'm', 'grep'}"
3654,"{'cd', '<1>', 'ph', 'k', 'f', 'talk', 'date', 'll', 'findall', 'm', 'vi'}"
3655,"{'z', 'X'}"
3656,"{'fstat', '<1>', '<2>', 'man', 'z', '-s'}"
3657,"{'z', 'pine'}"
3658,"{'mv', 'cd', 'fstat', '<1>', 'gcc', '<2>', 'k', 'sh', 'man', '-h', 'z', '-s', '<GENSYM:1>/a.out', '-k', 'll', '-H', '-m'}"
3659,{'pine'}
3660,{'slirp'}
3661,"{'cd', '<1>', 'm', 'pine'}"
3662,{'pine'}
3663,"{'z', 'X'}"
3664,"{'z', '<1>', 'f'}"
3665,"{'z', 'pin', 'pine'}"
3666,"{'cd', '<1>', 'z', 'vi', 'r'}"
3667,"{'z', 'X'}"
3668,"{'z', 'pine'}"
3669,"{'cd', '<1>', 'f', 'z', '-mode', 'w', 'll', 'gv', 'findall', 'xlock', 'nslookup'}"
3670,"{'z', 'pine'}"
3671,"{'<1>', 'X', 'z', 'date', 'tail'}"
3672,"{'z', 'pine'}"
3673,"{'ps', 'cd', '<1>', 'k', '<2>', 'z', 'cmp', 'll', 'findall', '-u', 'vi', 'spy'}"
3674,"{'z', 'pine'}"
3675,"{'z', 'X'}"
3676,"{'z', 'pine'}"
3677,"{'cd', '<1>', 'k', 'z', '-mode', 'ovid', 's', 'll', 'vi', 'xlock'}"
3678,{'z'}
3679,"{'cd', '<1>', 'elm', 'ping', '-i', '<2>', 'k', 'ruptime', '|', 'z', 'pine', 'll', 'which', 'm', 'grep', 'uptime'}"
3680,"{'z', 'pine'}"
3681,"{'z', 'X'}"
3682,"{'z', 'pine'}"
3683,"{'cd', '<1>', 'ph', 'f', 'z', 'll', 'm', 'vi', 'ping'}"
3684,"{'%2', 'cd', '<1>', 'grep', '<2>', 'pine', 'fg', 'vi', '%1'}"
3685,"{'z', 'X'}"
3686,"{'z', 'pine'}"
3687,"{'cd', '<1>', 'uptime', 'vi', 'spy'}"
3688,"{'cd', 'lpr', '<1>', '-P', '<2>', 'z', 'll', 'lpq', 'ls'}"
3689,"{'z', '<1>', 'which', 'X'}"
3690,"{'<1>', 'r'}"
3691,"{'z', 'pine'}"
3692,"{'<', 'k', 'll', '>', 'cp', 'tstr', 'cd', 'echo', 'uudecode', '-f', 'ping', 'ct', 'xhost', '<1>', '<2>', '-l', 'zcat', '-', '-p', 'tar', '|', 'z', 'bc', 'dc', '`', 'rm'}"
3693,"{'workman', '<1>', 'echo', '&'}"
3694,"{'-l', '<2>', 'z', 'pine', 'r'}"
3695,"{'z', 'X'}"
3696,"{'mv', 'cd', '<1>', '<2>', 'll'}"
3697,"{'z', 'pine'}"
3698,"{'<', 'k', 'wc', 'll', 'md', '>', 'cp', 'tstr', 'r', 'cd', 'uudecode', '-1', 'cat', 'ct', 'ping', 'xlock', 'diff', '<1>', '<2>', '-l', 'cmp', 'zcat', '-', '-p', 'tar', 'l', 'mv', '|', 'z', 'chmod', '-mode', 'com', 'foreach', 'ls', '<3>', '`', 'rm'}"
3699,"{'emacs', 'oed', '<1>', 'cd', 'k', 'ln', '<2>', 'z', 'my-latex', 'w', 'll', 'pine', 'fg', 'dvips', 'my_latex', 'unsetenv', 'vi', 'spy'}"
3700,{'slirp'}
3701,"{'mv', 'cd', '<1>', '|', 'k', '<2>', 'com', 'pine', 'll', 'md', 'fg', 'tail', 'vi', '-100', '-130'}"
3702,"{'z', 'X'}"
3703,{'z'}
3704,"{'z', 'bc', '-l'}"
3705,"{'k', 'll', 'md', '>', '!', 'm', '-nu', 'grep', 'cd', 'qu', 'man', 'pop', '-s', 'sort', '<4>', '&', '<GENSYM:12>/scan', 'xlock', 'make', '<1>', '<2>', '-l', '-t', '<5>', '-h', '-u', 'matlab', '-m', '-', '-w', 'z', '-mode', 'foreach', 'xdvi', 'push', '<3>', '-d', '-M'}"
3706,"{'z', 'pine'}"
3707,"{'emacs', 'unsetenv', '<1>', 'echo'}"
3708,"{'wc', 'll', 'md', '>', '!', 'cp', 'm', 'cd', ';', '<4>', '&', '-print', '-r', '<7>', 'diff', '<1>', 'meta.pl', '<6>', '<2>', '-l', '-exec', '-h', '-m', '-name', 'find', '<GENSYM:26>/scan', 'f', 'foreach', 'bc', 'rm'}"
3709,{'slirp'}
3710,"{'|', '<1>', 'gt', 'pine', 'fg', 'grep', 'spy'}"
3711,"{'z', 'X'}"
3712,"{'cd', '<1>', '-l', 'z', 'wc', 'll', 'matlab'}"
3713,"{'mv', 'cd', '<1>', 'pwd', '<2>', 'm', 'z', 'll', 'pine', '-', 'setenv'}"
3714,"{'z', 'X'}"
3715,{'z'}
3716,"{'z', 'pine'}"
3717,{'X'}
3718,"{'mv', 'cd', '<1>', 'pwd', '<2>', 'z', '-mode', 'll', 'md', '<3>', 'm', 'xlock'}"
